emp_no,first_name,last_name,title,from_date
67076,Jasminko,Farris,Senior Engineer,1987-02-22
67084,Shigeo,Isaak,Senior Engineer,1985-12-23
67112,Sreekrishna,Henders,Senior Staff,1994-09-20
67115,Siamak,Bernardeschi,Senior Engineer,1991-04-26
67135,Candida,Fendler,Senior Staff,1986-03-21
67138,Surveyors,Kaltofen,Technique Leader,2000-01-14
67146,Horward,Hertweck,Senior Staff,1996-02-10
67164,Eckart,Bade,Senior Engineer,1998-09-13
67165,Chikako,Schapire,Staff,1998-04-22
67198,Fuqing,Schahn,Senior Staff,1999-05-08
67216,Yongmao,Streng,Technique Leader,1994-09-24
67227,Shuky,Showalter,Senior Engineer,2002-05-24
67233,Gad,Baalen,Senior Staff,1993-07-16
67253,Shiv,Szmurlo,Senior Engineer,1996-10-18
67272,Val,Minakawa,Senior Staff,1993-11-23
67301,Xuedong,Danlos,Staff,1996-08-26
67306,Peternela,Molenkamp,Senior Engineer,1992-08-05
67327,Tomokazu,Ernst,Engineer,1999-08-05
67333,Takahiro,Ebeling,Staff,1993-09-25
67345,Mani,Rando,Senior Engineer,1996-12-28
67352,Masaru,Awdeh,Engineer,1995-08-01
67357,Pradeep,Millington,Senior Staff,1994-04-08
67362,Ranga,Cardazo,Senior Staff,1994-11-10
67366,Ayonca,Bratten,Senior Engineer,1986-10-20
67367,Karlis,Birch,Senior Staff,1993-08-21
67377,Mingdong,Sherertz,Technique Leader,1995-01-01
67379,Masadi,Srimani,Technique Leader,1986-08-30
67381,Gita,Weedon,Staff,1997-08-14
67395,Sakthirel,Basart,Senior Engineer,1993-02-20
67402,Maya,Ruemmler,Senior Staff,1991-11-07
67404,Shaz,Shobatake,Senior Engineer,1995-03-01
67426,Haldun,Geffroy,Senior Engineer,1989-01-28
67428,Dharmaraja,Diderrich,Engineer,1997-01-17
67438,Niranjan,Makinen,Senior Engineer,1997-12-04
67450,Khosrow,Seiwald,Senior Staff,1994-10-17
67451,Siamak,Stellhorn,Senior Engineer,1986-02-10
67476,Gino,Kilgour,Staff,1999-11-28
67477,Morrie,Vasanthakumar,Senior Engineer,2000-04-05
67483,Oguz,Chartres,Senior Engineer,1991-05-08
67500,Vasiliy,Laurillard,Senior Staff,1995-10-20
67506,Collette,Verhoeff,Senior Staff,2001-04-18
67523,Pohua,Gelosh,Senior Engineer,1996-12-06
67526,Shay,Roisin,Senior Engineer,1994-04-21
67529,Alejandro,Passino,Senior Engineer,1998-08-10
67537,Somnath,Uludag,Senior Staff,1992-12-09
67549,Ute,Pezzoli,Senior Engineer,1995-06-03
67553,Freyja,Hutter,Senior Staff,1987-07-02
67554,Xiaoheng,Bhattacharjee,Technique Leader,1985-02-23
67567,Yuqun,Delgrossi,Staff,1998-12-26
67570,Odysseas,Baig,Senior Staff,1994-01-16
67571,Gro,Iisaka,Senior Staff,1991-12-10
67572,Gro,Katalagarianos,Senior Engineer,1995-08-19
67574,Lijie,Aingworth,Senior Engineer,1996-02-04
67578,Perry,Muhlberg,Senior Engineer,1997-01-29
67589,Hausi,Lampe,Senior Staff,1998-10-17
67594,Jiann,Aingworth,Senior Staff,1987-02-20
67609,Poornachandra,Berztiss,Senior Staff,1993-06-12
67613,Hyuncheol,Andreotta,Senior Engineer,1993-09-29
67624,Atreyi,Luks,Senior Staff,1986-08-04
67632,Anestis,Schusler,Senior Engineer,2000-03-09
67640,Gen,Glinert,Senior Staff,1986-05-31
67653,Mabo,Rathonyi,Engineer,1997-07-18
67660,Kwangjo,Pena,Senior Staff,1994-08-29
67667,Basant,Butterworth,Senior Staff,1993-09-01
67675,Gila,Schiper,Senior Engineer,1988-05-27
67682,Moni,Ozeri,Senior Staff,1995-03-24
67683,Domenico,Linares,Senior Engineer,1992-10-07
67684,Vincent,Pintelas,Engineer,1999-01-14
67686,Lucien,Junet,Senior Staff,1999-01-07
67701,Chikara,Herbst,Engineer,1998-07-15
67709,Huei,Attimonelli,Senior Staff,1989-07-21
67729,Candida,Molenkamp,Senior Engineer,1991-08-24
67740,Reinhard,Stifter,Engineer,1995-10-15
67741,Yishay,Koblitz,Senior Engineer,1999-05-21
67742,Toong,Hasham,Senior Engineer,1992-07-07
67761,Jagoda,Rothe,Senior Staff,2002-07-14
67767,Elvis,Demos,Staff,1997-09-06
67774,Jongsuk,Fabrizio,Senior Engineer,1998-01-26
67779,Niclas,Welham,Senior Staff,1990-10-08
67782,Almudena,Luga,Senior Engineer,1986-04-05
67797,Chaoyi,Azuma,Staff,1998-09-01
67804,Margareta,Vesel,Senior Staff,1993-01-11
67807,Zissis,Ramalingam,Senior Staff,1997-04-08
67812,Reinhold,Reinhart,Engineer,1997-01-13
67815,Zongyan,Coney,Senior Engineer,1993-09-27
67820,Gay,Colorni,Senior Engineer,1993-12-25
67823,Szabolcs,Muhlberg,Senior Engineer,1988-02-17
67826,Selwyn,Detkin,Senior Staff,2001-12-23
