emp_no,first_name,last_name,title,from_date,to_date
67084,Shigeo,Isaak,Senior Engineer,1985-12-23,9999-01-01
67115,Siamak,Bernardeschi,Senior Engineer,1991-04-26,1991-04-26
67135,Candida,Fendler,Senior Staff,1986-03-21,9999-01-01
67146,Horward,Hertweck,Senior Staff,1996-02-10,9999-01-01
67164,Eckart,Bade,Senior Engineer,1998-09-13,1998-09-13
67165,Chikako,Schapire,Staff,1998-04-22,9999-01-01
67227,Shuky,Showalter,Senior Engineer,2002-05-24,2002-05-24
67253,Shiv,Szmurlo,Senior Engineer,1996-10-18,1996-10-18
67381,Gita,Weedon,Staff,1997-08-14,9999-01-01
67402,Maya,Ruemmler,Senior Staff,1991-11-07,9999-01-01
67404,Shaz,Shobatake,Senior Engineer,1995-03-01,1995-03-01
67426,Haldun,Geffroy,Senior Engineer,1989-01-28,9999-01-01
67428,Dharmaraja,Diderrich,Engineer,1997-01-17,9999-01-01
67523,Pohua,Gelosh,Senior Engineer,1996-12-06,1996-12-06
67553,Freyja,Hutter,Senior Staff,1987-07-02,9999-01-01
67554,Xiaoheng,Bhattacharjee,Technique Leader,1985-02-23,9999-01-01
67574,Lijie,Aingworth,Senior Engineer,1996-02-04,1996-02-04
67578,Perry,Muhlberg,Senior Engineer,1997-01-29,1997-01-29
67589,Hausi,Lampe,Senior Staff,1998-10-17,1998-10-17
67594,Jiann,Aingworth,Senior Staff,1987-02-20,9999-01-01
67741,Yishay,Koblitz,Senior Engineer,1999-05-21,1999-05-21
67742,Toong,Hasham,Senior Engineer,1992-07-07,9999-01-01
67767,Elvis,Demos,Staff,1997-09-06,9999-01-01
67782,Almudena,Luga,Senior Engineer,1986-04-05,9999-01-01
67826,Selwyn,Detkin,Senior Staff,2001-12-23,2001-12-23
67833,Aleksander,Iivonen,Senior Staff,1996-11-01,1996-11-01
67848,Shawna,Litzkow,Senior Engineer,1986-12-22,9999-01-01
67879,Hongzue,Michaels,Technique Leader,1991-10-21,9999-01-01
67937,Odinaldo,Bashian,Senior Engineer,1996-06-08,1996-06-08
67962,Jiann,Stille,Senior Engineer,1990-12-21,1990-12-21
67999,Sorina,Herber,Senior Staff,1985-07-28,9999-01-01
68028,Richara,Syang,Senior Staff,1992-09-29,1992-09-29
68269,Marjo,Falster,Technique Leader,1986-10-31,9999-01-01
68313,Rosalie,Ferriere,Senior Engineer,1992-07-20,9999-01-01
68321,Aris,Harbusch,Senior Engineer,1995-09-22,1995-09-22
68381,Stabislas,Hasham,Senior Staff,1990-03-11,1990-03-11
68407,Jahangir,Peternell,Senior Staff,1988-02-25,9999-01-01
68454,Weicheng,Kampfer,Senior Engineer,1988-05-16,9999-01-01
68500,Leah,Stellhorn,Senior Staff,1997-10-11,1997-10-11
68508,Annemarie,Swist,Senior Engineer,1992-06-06,1992-06-06
68536,Zorica,Perly,Engineer,1999-04-24,9999-01-01
68542,Licheng,Pollacia,Senior Engineer,1997-02-22,1997-02-22
68578,Weidon,Baranowski,Senior Engineer,1987-04-28,9999-01-01
68717,Yishai,Chenoweth,Senior Engineer,1986-10-22,9999-01-01
68761,Rasikan,Zuberek,Staff,1995-10-18,9999-01-01
68843,Yucel,Kalafatis,Senior Staff,1997-08-27,1997-08-27
68895,Suvo,Senzako,Senior Staff,2001-10-01,2001-10-01
68940,Froduald,Garrabrants,Senior Staff,1997-07-20,1997-07-20
68947,Toshimo,Bergere,Senior Staff,1995-04-04,1995-04-04
68951,Shichao,Leppanen,Senior Engineer,1997-05-30,1997-05-30
68964,Fai,Francisci,Senior Engineer,1997-09-11,1991-09-12
68966,Shuho,Carrera,Senior Staff,1998-05-14,1998-05-14
68978,Rildo,Dalton,Senior Staff,1991-04-13,1991-04-13
69014,Xuejun,Chenney,Senior Engineer,1994-10-30,1994-10-30
69019,Valdiodio,Rothenberg,Staff,1999-05-03,9999-01-01
69022,Kendra,Benzmuller,Senior Staff,2001-07-17,2001-07-17
69027,Make,Gihr,Senior Staff,1998-12-22,1998-12-22
69118,Irena,Lakshmanan,Senior Staff,1999-07-24,1999-07-24
69136,Younwoo,Busillo,Senior Engineer,2000-07-29,2000-07-29
69177,Shan,Marchegay,Technique Leader,1985-04-15,9999-01-01
69181,Toshiko,Schiper,Senior Staff,1985-06-15,9999-01-01
69217,Atreyi,Brandsma,Senior Engineer,1993-11-06,1993-11-06
69226,Reinhold,Wursthorn,Senior Engineer,1985-03-18,9999-01-01
69228,Urs,Shimshoni,Senior Engineer,1988-10-09,9999-01-01
69246,Yonghoan,Maksimenko,Senior Engineer,2001-03-13,2001-03-13
69271,Debatosh,Zyda,Senior Engineer,1994-11-20,1994-11-20
69325,Pranas,Dredge,Senior Staff,1996-03-02,1996-03-02
69355,Dmitry,Borovoy,Technique Leader,1986-05-26,9999-01-01
69366,Georg,Schrift,Technique Leader,1988-10-11,9999-01-01
69405,Lijia,Heping,Senior Staff,1992-02-05,1992-02-05
69428,Dzung,Shimshoni,Senior Staff,1988-03-10,9999-01-01
69455,Radhakrishnan,Nastansky,Senior Engineer,1994-03-02,1994-03-02
69493,Odoardo,Greibach,Engineer,1999-02-25,1999-02-25
69524,Leon,Vrecion,Engineer,1998-12-23,9999-01-01
69582,Pragnesh,Hofstetter,Senior Staff,1997-10-08,9999-01-01
69613,Gay,Tsukuda,Staff,1998-09-16,9999-01-01
69621,Atilio,Takkinen,Senior Engineer,1994-11-25,1994-11-25
69654,Paris,Hofman,Senior Engineer,2000-09-24,2000-09-24
69767,Nakhoon,Glowinski,Engineer,1996-02-21,9999-01-01
70077,Vesna,Panienski,Technique Leader,1987-02-06,9999-01-01
70090,Oldrich,Anandan,Senior Staff,1993-03-06,9999-01-01
70105,Van,Hardjono,Senior Engineer,1994-04-26,9999-01-01
70287,Nimmagadda,McConalogue,Senior Staff,1992-04-29,1992-04-29
70296,Nalini,Vadhan,Senior Engineer,1994-08-12,1994-08-12
