emp_no,first_name,last_name,dept_name
67076,Jasminko,Farris,Development
67146,Horward,Hertweck,Sales
67165,Chikako,Schapire,Sales
67216,Yongmao,Streng,Development
67227,Shuky,Showalter,Development
67253,Shiv,Szmurlo,Development
67301,Xuedong,Danlos,Sales
67306,Peternela,Molenkamp,Development
67327,Tomokazu,Ernst,Development
67345,Mani,Rando,Development
67352,Masaru,Awdeh,Development
67367,Karlis,Birch,Sales
67402,Maya,Ruemmler,Sales
67404,Shaz,Shobatake,Development
67426,Haldun,Geffroy,Development
67428,Dharmaraja,Diderrich,Development
67438,Niranjan,Makinen,Development
67451,Siamak,Stellhorn,Development
67477,Morrie,Vasanthakumar,Development
67483,Oguz,Chartres,Development
67506,Collette,Verhoeff,Sales
67523,Pohua,Gelosh,Development
67529,Alejandro,Passino,Development
67553,Freyja,Hutter,Sales
67554,Xiaoheng,Bhattacharjee,Development
67570,Odysseas,Baig,Sales
67572,Gro,Katalagarianos,Development
67574,Lijie,Aingworth,Development
67609,Poornachandra,Berztiss,Sales
67640,Gen,Glinert,Development
67653,Mabo,Rathonyi,Development
67660,Kwangjo,Pena,Sales
67684,Vincent,Pintelas,Development
67729,Candida,Molenkamp,Development
67740,Reinhard,Stifter,Development
67741,Yishay,Koblitz,Development
67779,Niclas,Welham,Sales
67807,Zissis,Ramalingam,Sales
67812,Reinhold,Reinhart,Development
67815,Zongyan,Coney,Development
67820,Gay,Colorni,Development
67823,Szabolcs,Muhlberg,Development
67835,Behnaam,Luft,Sales
67845,Xuejun,Back,Sales
67853,King,Perl,Development
67862,Sven,Brizzi,Sales
67885,Nishit,Suermann,Development
67929,Richard,Iisaka,Development
67967,Marin,Stille,Development
67968,Christoper,Narahara,Sales
67994,Hatim,Paludetto,Development
67999,Sorina,Herber,Sales
68001,Marlo,Panwar,Development
68003,Kellie,Ratzlaff,Development
68005,Hilary,Montresor,Development
68028,Richara,Syang,Sales
68123,Shakhar,Rissland,Sales
68142,Aran,Nishimukai,Sales
68147,Breannda,Zhang,Development
